SendDate,Solar Power (kW),Solar energy Generation  (kWh),consumptionValue (kW)
7/1/2024 0:03,144,0,0.37
7/1/2024 0:07,144,0,0.39
7/1/2024 0:13,144,0,0.37
7/1/2024 0:19,144,0,0.38
7/1/2024 0:24,144,0,0.38
7/1/2024 0:30,144,0,0.37
7/1/2024 0:35,144,0,0.37
7/1/2024 0:40,144,0,0.37
7/1/2024 0:46,144,0,0.36
7/1/2024 0:51,144,0,0.38
7/1/2024 0:56,144,0,0.37
7/1/2024 1:01,144,0,0.37
7/1/2024 1:07,144,0,0.37
7/1/2024 1:12,144,0,0.37
7/1/2024 1:17,144,0,0.37
7/1/2024 1:23,144,0,0.37
7/1/2024 1:28,144,0,0.36
7/1/2024 1:33,144,0,0.35
7/1/2024 1:39,144,0,0.34
7/1/2024 1:44,144,0,0.35
7/1/2024 1:49,144,0,0.34
7/1/2024 1:54,144,0,0.34
7/1/2024 1:59,144,0,0.35
7/1/2024 2:05,144,0,0.34
7/1/2024 2:10,144,0,0.34
7/1/2024 2:15,144,0,0.35
7/1/2024 2:20,144,0,0.34
7/1/2024 2:26,144,0,0.35
7/1/2024 2:31,144,0,0.35
7/1/2024 2:36,144,0,0.35
7/1/2024 2:42,144,0,0.34
7/1/2024 2:48,144,-0.1,
7/1/2024 2:52,144,0,0.34
7/1/2024 2:57,144,0,0.35
7/1/2024 3:03,144,0,0.37
7/1/2024 3:08,144,0,0.38
7/1/2024 3:13,144,0,0.38
7/1/2024 3:19,144,0,0.38
7/1/2024 3:26,144,0,0.39
7/1/2024 3:30,144,0,0.35
7/1/2024 3:35,144,0,0.35
7/1/2024 3:40,144,0,0.36
7/1/2024 3:45,144,0,0.37
7/1/2024 3:51,144,0,0.36
7/1/2024 3:56,144,0,0.35
7/1/2024 4:01,144,0,0.36
7/1/2024 4:06,144,0,0.35
7/1/2024 4:11,144,0,0.35
7/1/2024 4:16,144,0,0.35
7/1/2024 4:23,144,0,0.35
7/1/2024 4:28,144,0,0.37
7/1/2024 4:33,144,0,0.35
7/1/2024 4:39,144,0,0.35
7/1/2024 4:44,144,0,0.35
7/1/2024 4:49,144,0,0.34
7/1/2024 4:54,144,0,0.35
7/1/2024 5:00,144,0,0.35
7/1/2024 5:05,144,0,0.36
7/1/2024 5:10,144,0,0.36
7/1/2024 5:16,144,0,0.35
7/1/2024 5:21,144,0,0.39
7/1/2024 5:27,144,0,0.35
7/1/2024 5:32,144,0,0.35
7/1/2024 5:38,144,0,0.36
7/1/2024 5:43,144,0,0.36
7/1/2024 5:48,144,0,0.37
7/1/2024 5:54,144,0,0.37
7/1/2024 5:56,144,0,0.37
7/1/2024 5:58,144,-0.1,
7/1/2024 5:59,147,0,0.39
7/1/2024 6:01,143,0,0.4
7/1/2024 6:04,148,0,0.39
7/1/2024 6:05,149,0,0.4
7/1/2024 6:06,145,-0.1,
7/1/2024 6:12,150,0,0.38
7/1/2024 6:15,223,0,0.41
7/1/2024 6:18,154,0,0.4
7/1/2024 6:19,151,-0.1,
7/1/2024 6:20,150,0,0.4
7/1/2024 6:22,150,-0.1,
7/1/2024 6:25,149,-0.1,
7/1/2024 6:27,152,-0.1,
7/1/2024 6:28,152,0,0.4
7/1/2024 6:29,152,0,0.4
7/1/2024 6:31,150,-0.1,
7/1/2024 6:32,153,0,0.4
7/1/2024 6:33,152,0,0.41
7/1/2024 6:37,153,-0.1,
7/1/2024 6:38,155,0,0.4
7/1/2024 6:39,154,0,0.39
7/1/2024 6:42,155,0,0.38
7/1/2024 6:44,156,0.1,0.4
7/1/2024 6:46,156,-0.1,
7/1/2024 6:48,155,-0.1,
7/1/2024 6:50,153,0.1,0.4
7/1/2024 6:51,152,0.1,0.4
7/1/2024 6:54,153,0.1,0.38
7/1/2024 6:55,154,0.1,0.4
7/1/2024 6:56,155,0.1,0.37
7/1/2024 7:00,155,0.1,0.38
7/1/2024 7:01,155,0.1,0.38
7/1/2024 7:02,153,-0.1,
7/1/2024 7:03,154,0.1,0.4
7/1/2024 7:05,153,-0.1,
7/1/2024 7:09,153,-0.1,
7/1/2024 7:10,155,0.1,0.38
7/1/2024 7:11,155,0.1,0.39
7/1/2024 7:14,154,-0.1,
7/1/2024 7:15,153,0.1,0.38
7/1/2024 7:17,156,0.1,0.38
7/1/2024 7:18,155,0.1,0.38
7/1/2024 7:19,155,0.1,0.38
7/1/2024 7:23,155,0.1,0.38
7/1/2024 7:25,156,0.1,0.38
7/1/2024 7:26,156,0.1,0.39
7/1/2024 7:27,156,0.1,0.39
7/1/2024 7:28,153,0.1,0.38
7/1/2024 7:32,153,0.1,0.44
7/1/2024 7:33,153,0.2,0.38
7/1/2024 7:35,153,-0.1,
7/1/2024 7:36,153,0.2,0.38
7/1/2024 7:38,154,0.2,0.37
7/1/2024 7:39,153,-0.1,
7/1/2024 7:41,155,0.2,0.38
7/1/2024 7:43,153,0.2,0.39
7/1/2024 7:45,156,-0.1,
7/1/2024 7:46,153,0.2,0.38
7/1/2024 7:49,154,0.2,0.38
7/1/2024 7:51,152,0.2,0.38
7/1/2024 7:52,153,0.2,0.38
7/1/2024 7:55,151,0.2,0.4
7/1/2024 7:56,154,0.2,0.4
7/1/2024 7:57,152,0.2,0.4
7/1/2024 7:59,152,0.2,0.39
7/1/2024 8:00,151,0.2,0.41
7/1/2024 8:03,153,-0.1,
7/1/2024 8:05,154,-0.1,
7/1/2024 8:07,155,-0.1,
7/1/2024 8:11,157,-0.1,
7/1/2024 8:12,156,0.2,0.41
7/1/2024 8:13,155,0.2,0.42
7/1/2024 8:16,154,0.2,0.39
7/1/2024 8:17,154,0.2,0.41
7/1/2024 8:18,155,0.2,0.4
7/1/2024 8:20,156,0.2,0.4
7/1/2024 8:22,175,-0.1,
7/1/2024 8:23,157,0.3,0.4
7/1/2024 8:24,157,-0.1,
7/1/2024 8:26,153,-0.1,
7/1/2024 8:28,154,-0.1,
7/1/2024 8:29,156,0.3,0.4
7/1/2024 8:30,153,0.3,0.41
7/1/2024 8:34,154,0.3,0.4
7/1/2024 8:35,153,-0.1,
7/1/2024 8:37,153,-0.1,
7/1/2024 8:39,152,-0.1,
7/1/2024 8:40,153,0.3,0.41
7/1/2024 8:42,154,-0.1,
7/1/2024 8:43,154,0.3,0.41
7/1/2024 8:44,152,0.3,0.41
7/1/2024 8:46,154,0.3,0.4
7/1/2024 8:47,154,0.3,0.41
7/1/2024 8:51,153,-0.1,
7/1/2024 8:52,153,0.3,0.41
7/1/2024 8:53,151,0.3,0.4
7/1/2024 8:56,152,-0.1,
7/1/2024 8:58,152,0.3,0.42
7/1/2024 9:00,154,-0.1,
7/1/2024 9:02,152,-0.1,
7/1/2024 9:03,156,-0.1,
7/1/2024 9:05,156,0.3,0.41
7/1/2024 9:06,157,0.3,0.42
7/1/2024 9:07,154,0.3,0.41
7/1/2024 9:10,157,0.4,0.41
7/1/2024 9:11,157,0.4,0.41
7/1/2024 9:12,156,0.4,0.42
7/1/2024 9:16,157,0.4,0.42
7/1/2024 9:17,155,0.4,0.46
7/1/2024 9:18,822,0.4,0.42
7/1/2024 9:18,806,0.4,0.45
7/1/2024 9:25,959,0.5,0.44
7/1/2024 9:30,1045,0.5,0.44
7/1/2024 9:35,936,0.6,0.45
7/1/2024 9:40,995,0.7,0.48
7/1/2024 9:45,786,0.8,0.49
7/1/2024 9:51,836,0.8,0.49
7/1/2024 9:56,1058,0.9,0.48
7/1/2024 10:01,1172,1,0.46
7/1/2024 10:06,896,1.1,0.5
7/1/2024 10:11,827,1.2,0.51
7/1/2024 10:17,1081,1.2,0.51
7/1/2024 10:23,1467,1.4,0.51
7/1/2024 10:28,1537,1.5,0.5
7/1/2024 10:33,869,1.6,0.52
7/1/2024 10:38,1442,1.6,0.5
7/1/2024 10:43,1417,1.8,0.48
7/1/2024 10:49,1176,1.9,0.46
7/1/2024 10:54,855,1.9,0.46
7/1/2024 10:59,1365,2,0.46
7/1/2024 11:04,900,2.1,0.47
7/1/2024 11:09,1326,2.2,0.46
7/1/2024 11:14,1138,2.3,0.43
7/1/2024 11:19,973,2.4,0.43
7/1/2024 11:26,1563,2.5,0.48
7/1/2024 11:31,1163,2.6,0.51
7/1/2024 11:36,1562,2.7,0.46
7/1/2024 11:41,1528,2.8,0.43
7/1/2024 11:46,1443,2.9,0.55
7/1/2024 11:52,881,3,0.44
7/1/2024 11:57,1147,3.1,0.46
7/1/2024 12:02,1012,3.2,0.48
7/1/2024 12:07,1609,3.3,0.47
7/1/2024 12:12,852,3.4,0.46
7/1/2024 12:16,649,3.5,0.46
